1:1,2:1,3:1,4:1,4:2,4:3,0:2,1:2,2:2,3:2,3:3,4:3,,,,,,,,,,,,
1:1,2:1,3:1,3:2,4:2,5:2,0:2,1:2,2:2,2:3,3:3,3:4,,,,,,,,,,,,
1:1,2:1,3:1,3:2,3:3,4:3,0:2,1:2,2:2,2:3,2:4,2:5,,,,,,,,,,,,
1:1,2:1,2:2,3:2,4:2,4:3,0:2,1:2,1:3,2:3,3:3,4:3,,,,,,,,,,,,
1:1,2:1,2:2,3:2,3:3,3:4,0:2,1:2,1:3,2:3,2:4,3:4,,,,,,,,,,,,
1:1,2:1,2:2,2:3,3:3,4:3,0:2,1:2,1:3,1:4,2:4,2:5,,,,,,,,,,,,
1:1,2:1,2:2,2:3,2:4,3:4,0:2,1:2,1:3,1:4,1:5,1:6,,,,,,,,,,,,
1:1,1:2,2:2,3:2,4:2,5:2,0:2,0:3,1:3,2:3,3:3,3:4,,,,,,,,,,,,
1:1,1:2,2:2,3:2,3:3,4:3,0:2,0:3,1:3,2:3,2:4,2:5,,,,,,,,,,,,
1:1,1:2,2:2,2:3,3:3,3:4,0:2,0:3,1:3,1:4,2:4,3:4,,,,,,,,,,,,
1:1,1:2,2:2,2:3,2:4,2:5,0:2,0:3,1:3,1:4,1:5,2:5,,,,,,,,,,,,
1:1,1:2,1:3,2:3,3:3,4:3,0:2,0:3,0:4,1:4,2:4,2:5,,,,,,,,,,,,
1:1,1:2,1:3,2:3,2:4,3:4,0:2,0:3,0:4,1:4,1:5,1:6,,,,,,,,,,,,
1:1,1:2,1:3,1:4,2:4,2:5,0:2,0:3,0:4,0:5,1:5,2:5,,,,,,,,,,,,
1:1,1:2,1:3,1:4,1:5,1:6,0:2,0:3,0:4,0:5,0:6,1:6,,,,,,,,,,,,
7RB,,,,,,,,,,,,,,,,,,,,,,,
2:0,3:0,4:0,5:0,6:0,7:0,1:1,2:1,3:1,4:1,5:1,5:2,,,,,,,,,,,,
2:0,3:0,4:0,5:0,5:1,6:1,1:1,2:1,3:1,4:1,4:2,4:3,,,,,,,,,,,,
2:0,3:0,4:0,4:1,5:1,5:2,1:1,2:1,3:1,3:2,4:2,5:2,,,,,,,,,,,,
2:0,3:0,4:0,4:1,4:2,4:3,1:1,2:1,3:1,3:2,3:3,4:3,,,,,,,,,,,,
2:0,3:0,3:1,4:1,5:1,6:1,1:1,2:1,2:2,3:2,4:2,4:3,,,,,,,,,,,,
2:0,3:0,3:1,4:1,4:2,5:2,1:1,2:1,2:2,3:2,3:3,3:4,,,,,,,,,,,,
2:0,3:0,3:1,3:2,4:2,4:3,1:1,2:1,2:2,2:3,3:3,4:3,,,,,,,,,,,,
2:0,3:0,3:1,3:2,3:3,3:4,1:1,2:1,2:2,2:3,2:4,3:4,,,,,,,,,,,,
2:0,2:1,3:1,4:1,5:1,5:2,1:1,1:2,2:2,3:2,4:2,5:2,,,,,,,,,,,,
2:0,2:1,3:1,4:1,4:2,4:3,1:1,1:2,2:2,3:2,3:3,4:3,,,,,,,,,,,,
2:0,2:1,3:1,3:2,4:2,5:2,1:1,1:2,2:2,2:3,3:3,3:4,,,,,,,,,,,,
2:0,2:1,3:1,3:2,3:3,4:3,1:1,1:2,2:2,2:3,2:4,2:5,,,,,,,,,,,,
2:0,2:1,2:2,3:2,4:2,4:3,1:1,1:2,1:3,2:3,3:3,4:3,,,,,,,,,,,,
2:0,2:1,2:2,3:2,3:3,3:4,1:1,1:2,1:3,2:3,2:4,3:4,,,,,,,,,,,,
2:0,2:1,2:2,2:3,3:3,4:3,1:1,1:2,1:3,1:4,2:4,2:5,,,,,,,,,,,,
2:0,2:1,2:2,2:3,2:4,3:4,1:1,1:2,1:3,1:4,1:5,1:6,,,,,,,,,,,,
1:1,2:1,3:1,4:1,5:1,6:1,0:2,1:2,2:2,3:2,4:2,4:3,,,,,,,,,,,,
1:1,2:1,3:1,4:1,4:2,5:2,0:2,1:2,2:2,3:2,3:3,3:4,,,,,,,,,,,,
1:1,2:1,3:1,3:2,4:2,4:3,0:2,1:2,2:2,2:3,3:3,4:3,,,,,,,,,,,,
1:1,2:1,3:1,3:2,3:3,3:4,0:2,1:2,2:2,2:3,2:4,3:4,,,,,,,,,,,,
1:1,2:1,2:2,3:2,4:2,5:2,0:2,1:2,1:3,2:3,3:3,3:4,,,,,,,,,,,,
1:1,2:1,2:2,3:2,3:3,4:3,0:2,1:2,1:3,2:3,2:4,2:5,,,,,,,,,,,,
1:1,2:1,2:2,2:3,3:3,3:4,0:2,1:2,1:3,1:4,2:4,3:4,,,,,,,,,,,,
1:1,2:1,2:2,2:3,2:4,2:5,0:2,1:2,1:3,1:4,1:5,2:5,,,,,,,,,,,,
1:1,1:2,2:2,3:2,4:2,4:3,0:2,0:3,1:3,2:3,3:3,4:3,,,,,,,,,,,,
1:1,1:2,2:2,3:2,3:3,3:4,0:2,0:3,1:3,2:3,2:4,3:4,,,,,,,,,,,,
1:1,1:2,2:2,2:3,3:3,4:3,0:2,0:3,1:3,1:4,2:4,2:5,,,,,,,,,,,,
1:1,1:2,2:2,2:3,2:4,3:4,0:2,0:3,1:3,1:4,1:5,1:6,,,,,,,,,,,,
1:1,1:2,1:3,2:3,3:3,3:4,0:2,0:3,0:4,1:4,2:4,3:4,,,,,,,,,,,,
1:1,1:2,1:3,2:3,2:4,2:5,0:2,0:3,0:4,1:4,1:5,2:5,,,,,,,,,,,,
1:1,1:2,1:3,1:4,2:4,3:4,0:2,0:3,0:4,0:5,1:5,1:6,,,,,,,,,,,,
1:1,1:2,1:3,1:4,1:5,2:5,0:2,0:3,0:4,0:5,0:6,0:7,,,,,,,,,,,,
